outlet,aperol,alcoholism
check,engagement,wedding
abiding,abide,stay
ablaze,aroused,afire
abrupt,precipitous,sharp
absorbed,enwrapped,intent
absorbing,absorb,suck
abstractionist,abstract,nonfigurative
absurd,ludicrous,nonsensical
accompanied,come with,go with
accompanied,go with,accompany
acknowledged,receipt,notice
acquired,acquire,win
across-the-board,blanket,broad
acuate,acute,sharp
adopted,embrace,adopt
adorned,deck,adorn
advance,forward motion,onward motion
advance,win,pull ahead
advanced,encourage,advance
advancing,advance,progress
aerated,air,aerate
affected,regard,feign
affecting,dissemble,affect
aggregated,aggregative,mass
agile,quick,spry
agitated,agitate,foment
alarmed,appall,horrify
alcoholic,boozer,lush
alimental,nutritious,nutritive
all,totally,altogether
amazed,astounded,stunned
amazing,mystify,baffle
amebic,amoeban,ameban
amebous,amoebic,amebic
ameliorating,amend,ameliorate
amoebous,amoebic,amebic
amorphous,formless,shapeless
amphistylar,amphiprostyle,porticoed
amuck,berserk,demoniac
ancestral,hereditary,patrimonial
angled,angle,lean
animated,exalt,animize
animated,animise,animate
annihilating,withering,devastating
answering,suffice,do
antimicrobic,disinfectant,germicide
appalled,outrage,dismay
appalled,shock,offend
appealing,attract,appeal
applied,employ,apply
applied,enforce,implement
apprehended,pick up,nab
apprenticed,bound,indentured
approbative,approving,affirmative
approving,approbatory,plausive
arced,arciform,arcuate
aroused,fire,raise
arrant,stark,staring
arrayed,lay out,set out
arrayed,align,array
arresting,catch,arrest
ascending,go up,ascend
aspiring,aim,shoot for
assigned,specify,set apart
assumed,seize,take over
assured,assure,tell
astounding,astonishing,staggering
ataractic,tranquillizing,tranquilising
attempted,seek,attempt
attired,get up,rig out
away,off,aside
awkward,inapt,inept
awry,skew-whiff,amiss
back,spine,backbone
baffled,stupefy,nonplus
baffling,perplex,vex
baffling,problematic,problematical
baked,broil,bake
baked,bake,broil
balanced,equilibrize,equilibrise
balmy,kooky,kookie
banned,ban,banish
banned,shun,cast out
based,found,base
beaming,radiate,shine
beat,pulse,pulsation
beat,overreach,outsmart
beat,dumbfound,exhaust
beaten,trounce,vanquish
beaten,scramble,beat
beaten,perplex,vex
bedraggled,draggled,broken-down
befouled,defile,maculate
beginning,set about,set out
beguiled,enamor,captivate
behind,can,fundament
bended,flex,bend
besotted,stiff,tight
better,ameliorate,meliorate
better,practiced,proficient
biased,coloured,one-sided
biased,one-sided,slanted
bicolor,bicolored,bicoloured
bigger,bad,big
bigger,vainglorious,adult
bigger,heavy,with child
bigheaded,too big for one's breeches,uppish
bilateral,bilaterally symmetric,two-sided
binding,bind,constipate
bionomical,ecological,ecologic
blamable,blameworthy,blameable
blaring,blare,honk
blasted,pillory,crucify
blemished,deface,disfigure
blemished,spot,flaw
blockading,barricade,block
blockheaded,duncical,duncish
blotto,cockeyed,fuddled
blotto,tight,wet
blown,bollix,bollix up
blue-green,bluish green,cyan
blurry,bleary,blurred
blushing,flush,redden
boneheaded,thick-skulled,wooden-headed
bonkers,kookie,loco
booming,din,smash
bordered,butt,butt against
bored,bore,tire
bothered,get at,irritate
bottom,rear,rear end
bounded,rebound,recoil
bounteous,giving,liberal
bowleg,genu varum,tibia vara
bowleg,bandy,bandy-legged
bragging,line-shooting,gasconade
brassy,loud,meretricious
breathed,suspire,breathe
breathless,breathtaking,inanimate
bristly,spiny,thorny
broke,break out,break away
broke,discover,expose
broke,go,break
broke,wear,wear out
broke,get out,get around
broken,break in,break
broken,give way,die
brooding,sulk,pout
brooding,cover,incubate
brooding,broody,contemplative
brute,creature,fauna
bubbling,ripple,babble
buggy,barmy,bats
built,work up,build
burned-out,burned-over,burnt-out
burning,burn,incinerate
burning,burn,cut
burnt,glow,burn
burred,setose,setaceous
bustling,bustle,bustle about
buzzing,bombilate,buzz
bygone,bypast,departed
bypast,short-circuit,go around
calamitous,fatal,fateful
calculating,figure,forecast
calculating,aim,direct
calm,tranquillize,tranquillise
candied,sugar-coated,crystalized
capital,capital,chapiter
captivating,entrance,enchant
carbonaceous,carbonic,carboniferous
caring,manage,deal
castled,embattled,battlemented
catacorner,catercorner,cater-cornered
catching,enamour,trance
catercorner,catacorner,cata-cornered
causeless,fortuitous,uncaused
celebrated,notable,noted
celebrated,noted,renowned
cerulean,sapphire,lazuline
chagrined,humiliate,mortify
chancy,dodgy,fluky
charmed,charm,becharm
charming,charm,becharm
chartered,rent,hire
chatty,talkative,talky
cheating,foul,unsporting
checked,suss out,check over
checked,check,see
checked,arrest,stop
checked,crack,check
cheesy,punk,sleazy
chequered,checker,chequer
chicken,lily-livered,white-livered
childlike,round-eyed,dewy-eyed
choked,choke off,clog up
churning,roily,turbulent
circulating,spread,diffuse
civilised,genteel,polite
clamant,strident,vociferous
clear,shed light on,crystallize
clear,sack,sack up
cleared,clear,gain
clipped,clip,snip
cloaked,mantled,wrapped
clogging,clot,clog
closed,fill up,close up
closemouthed,secretive,tightlipped
closing,close,conclude
clothed,enclothe,garb
clothed,cloaked,draped
coalesced,blend,flux
coalescing,blend,flux
coalescing,coalesce,meld
coarse,vulgar,common
cockeyed,laughable,ludicrous
coincident,co-occurrent,cooccurring
colored,color in,colour in
combatant,battler,belligerent
combined,aggregate,combine
coming,orgasm,climax
commemorating,immortalise,record
comose,comate,comal
compartmentalized,compartmentalise,cut up
compassionate,pity,condole with
compensated,compensate,overcompensate
compensated,compensate,redress
compounded,deepen,compound
conciliatory,flexible,conciliative
confined,limit,circumscribe
confining,limit,bound
confining,enclose,hold in
confirmative,confirmatory,corroborative
confirmatory,substantiative,validating
confluent,tributary,affluent
confusing,discombobulate,confuse
constituent,portion,component part
constituted,name,nominate
constituted,nominate,constitute
constitutional,constituent,constitutive
constrained,tighten up,constrain
constricted,constrict,constringe
constricting,press,constrict
consummate,gross,perfect
contemplative,pensive,pondering
continuing,remain,cover
contracted,narrow,contract
contrived,cast,contrive
contrived,contrive,throw
controlled,see,check
controlled,control,ascertain
coordinating,coordinate,align
corking,peachy,slap-up
corking,swell,smashing
covered,handle,plow
covert,cover,concealment
cracked,buggy,crackers
cracked,nuts,nutty
cracking,neat,nifty
cragged,craggy,hilly
crazy,unbalanced,unhinged
crease-resistant,wrinkleproof,wrinkle-resistant
cringing,crawl,creep
crocked,soaked,soused
cropped,clip,crop
crowing,gloat,triumph
crying,watchword,cry
crying,blazon out,cry
cubical,cubiform,cuboid
cunning,foxiness,guile
curled,curl,draw in
curling,curve,kink
cursed,blaspheme,swear
curst,beshrew,damn
curving,sheer,curve
curvy,full-bosomed,sonsie
cussed,curse,cuss
cutting,newspaper clipping,press clipping
cutting,cut,write out
cutting,cut,ignore
cutting,ignore,disregard
damn,tinker's damn,tinker's dam
damned,blamed,blessed
dark,benighted,obscure
dark,coloured,dark-skinned
dated,date,date stamp
dateless,sempiternal,undated
daunted,daunt,dash
daunting,scare off,pall
dazzling,dazzle,bedazzle
dazzling,eye-popping,fulgurant
debonnaire,debonair,debonaire
deceased,departed,gone
deciphered,decrypt,decipher
decorous,becoming,comely
decreasing,fall,decrease
decreed,decree,rule
decrepit,derelict,flea-bitten
decrepit,weak,weakly
deep-rooted,implanted,ingrained
deepening,deepen,intensify
defending,maintain,defend
deformed,deform,contort
deformed,distort,strain
delectable,toothsome,yummy
deliberate,careful,measured
delimited,specify,define
delineated,delineate,specify
delineated,delimitate,delineate
demeaning,degrade,disgrace
demoniac,demoniacal,possessed
demonstrated,show,demo
demonstrated,demonstrate,prove
demonstrated,shew,attest
demonstrated,manifest,demonstrate
demoralised,depress,deject
demoralising,get down,dismay
demoralized,discouraged,disheartened
denigrating,libellous,libelous
denuded,bare,denudate
derelict,neglectful,remiss
derelict,tatterdemalion,tumble-down
descending,deign,descend
designing,design,plan
desolate,bare,barren
despoiled,despoil,violate
determinant,antigenic determinant,epitope
determined,ascertain,watch
detestable,repulsive,abominable
developed,evolve,grow
developed,rise,develop
diabolical,devilish,diabolic
diabolical,diabolic,fiendish
diaphanous,vaporous,vapourous
diarrheal,diarrheic,diarrhoeic
diarrhoeal,diarrhetic,diarrhoetic
diestrous,dioestrous,diestrual
diffuse,broadcast,spread
diffusing,circularize,circularise
diluted,thin,thin out
diluted,adulterate,stretch
dimmed,dim,blur
dingy,muddied,muddy
direct,channelize,channelise
directing,steer,maneuver
directing,point,head
directing,address,direct
dirty,colly,bemire
discerning,recognise,distinguish
discharged,free,discharge
discharged,laid-off,pink-slipped
discovered,attain,discover
discriminating,incisive,keen
diseased,morbid,pathologic
disgraced,discredited,dishonored
disgustful,wicked,yucky
dismissed,brush aside,brush off
disordered,upset,confused
dispirited,dismay,dispirit
dissected,dissect,take apart
dissimilar,unlike,different
dissipated,dissipate,shoot
dissipated,degraded,dissolute
distasteful,repelling,revolting
distinct,decided,clear-cut
distributed,give out,hand out
divided,divide,separate
divinatory,suppositious,supposititious
do-nothing,loafer,layabout
domesticated,naturalize,naturalise
dominating,dominate,master
dominating,dominate,eclipse
dominating,overlooking,autocratic
done,do,perform
double,image,look-alike
double-tongued,janus-faced,two-faced
drawn,get out,take out
drawn,pull,draw
drawn,pull back,draw
dreamy,lackadaisical,languid
dreary,disconsolate,dismal
dressed,dress,decorate
dressed,curry,dress
dressed,coiffe,coiffure
dressed,appareled,attired
dried-up,sear,shriveled
driven,drive,repulse
driving,drive,repulse
dropping,miss,leave out
dropping,leave out,overlook
drug-addicted,dependent,dependant
due,ascribable,imputable
dulled,benumbed,blunted
dumbfounded,perplex,vex
dummy,pinhead,blank
duplicate,twin,twinned
dying,exit,pass away
dying,conk out,go
easy,loose,promiscuous
egoistical,egoistic,egocentric
elaborated,enlarge,flesh out
elapsed,glide by,slip away
elevated,el,overhead railway
elongated,prolonged,elongate
eloquent,fluent,silver
emasculated,emasculate,castrate
emblematical,symbolic,symbolical
emboldened,cheer,hearten
emerging,go forth,egress
enchanting,entrance,enchant
enclosed,wrap,enclose
enclosed,inclose,stick in
ended,terminate,end
endowed,empower,invest
endowed,invest,endue
energizing,stimulate,arouse
energizing,energize,energise
enervating,faze,unnerve
engaged,engage,betroth
engaged,mesh,lock
enlightened,clear,clear up
enlightening,sort out,enlighten
ennobling,dignify,ennoble
enraptured,enthrall,ravish
enraptured,ravish,enthral
ensuant,consequent,accompanying
entitled,gentle,entitle
epicene,intersex,gynandromorph
erstwhile,onetime,one-time
etiological,aetiological,aetiologic
etiological,aetiologic,etiologic
everlasting,double-dyed,gross
evoked,enkindle,kindle
evoked,put forward,call forth
exalted,exalt,glorify
exalting,proclaim,exhilarate
exasperating,incense,worsen
exasperating,vexing,aggravating
exceptional,particular,special
excess,supererogatory,superfluous
exchanged,change,exchange
excited,stimulate,shake
excited,worked up,delirious
exciting,commove,excite
excruciating,excruciate,torment
excused,justify,rationalize
exhausted,eat up,use up
exhausted,wipe out,run down
exhausting,wipe out,run down
existing,exist,be
expanded,inflate,blow up
expansible,expandable,expandible
experienced,see,go through
exposed,exhibit,display
extended,extend,poke out
exterminated,exterminate,kill off
exuberant,ebullient,high-spirited
eye-popping,fulgurant,fulgurous
faced,face,front
fainthearted,faint,timid
fallen,shine,strike
fanatical,overzealous,rabid
fantastic,marvellous,rattling
fascinated,hypnotised,mesmerized
fascinated,mesmerised,spellbound
fascinating,intrigue,fascinate
fascinating,capture,enamour
fascinating,trance,catch
fascinating,bewitching,captivating
fatal,fateful,black
fatigued,jade,tire
faulty,defective,incorrect
favorite,favored,favourite
fearful,fearsome,frightening
fearful,frightful,timorous
featherbrained,dizzy,empty-headed
featured,feature,sport
fell,strike,fall
fiddling,petty,picayune
fierce,ferocious,furious
figured,picture,image
figured,calculate,cipher
filled,fill,fill up
filled,fill up,make full
filled,fill,satiate
firm,unfaltering,unshakable
flabbergasted,boggle,bowl over
flagrant,glaring,gross
flashy,showy,sporty
flavorless,flavourless,insipid
flavorous,flavorful,flavourful
fledgling,unfledged,callow
flighted,flight,fledge
flowing,flux,run
flush,peak,heyday
flush,gush,outpouring
flyblown,squalid,sordid
flyspeck,diminutive,lilliputian
focussed,focus,concenter
focussed,focalise,focus
foiled,foil,cross
following,come,follow
footless,mill about,mill around
forbidding,ominous,sinister
foregone,forgo,forego
forged,fake,counterfeit
forged,form,work
forked,pitchfork,fork
formal,schematic,courtly
former,old,onetime
fortified,fort,arm
foul,disgusting,disgustful
found,establish,plant
found,detect,observe
found,find,regain
fourth,quarter,fourth part
freaky,bizarre,eccentric
freehanded,bighearted,bounteous
fresh,sassy,wise
frightened,scared,panicky
frozen,freeze,freeze out
frozen,rooted,stock-still
frozen,glacial,icy
fucking,know,do it
fumbling,spoil,muck up
funky,noisome,smelly
fussy,grouchy,grumpy
fusty,musty,frowsty
gallant,dude,fop
galling,pestering,pestiferous
galvanizing,galvanise,galvanize
gathered,pucker,tuck
gathered,gather,get together
gemmed,jewelled,sequined
generalised,generalize,generalise
gentle,gruntle,ennoble
giddy,woozy,vertiginous
giving,give,render
giving,yield,give
gladdened,gladden,joy
glassed,glass over,glaze over
glazed,glass over,glaze over
glinting,shine,glance
glistering,glittering,glittery
globular,globose,orbicular
glorified,spiritualize,glorify
glutted,glut,englut
gnarled,gnarly,knotted
goaded,spur,goad
goddamned,blame,blamed
goddamned,deuced,goddam
goosey,anserine,dopy
graded,score,mark
granitic,stony,granitelike
granted,grant,award
granted,accord,allot
granted,give,concede
graphic,pictorial,vivid
grasping,covetous,grabby
gratifying,sweet,enjoyable
gratuitous,free,gratis
graven,scratch,engrave
grayish,gray,greyish
grieving,grief-stricken,mourning
gritty,farinaceous,coarse-grained
grizzled,grizzle,brood
groovy,peachy,slap-up
groveling,fawn,crawl
grown,raise,farm
grown,get,acquire
gruff,curmudgeonly,ill-humored
guarded,hold,guard
guiding,directional,directive
gummy,mucilaginous,pasty
gummy,sticky,viscid
gushing,spurt,spirt
gutless,spineless,wishy-washy
haematopoietic,hematopoietic,hemopoietic
halfhearted,half-hearted,tepid
hardened,tempered,treated
hardened,treated,toughened
harmonized,harmonize,harmonise
harum-scarum,happy-go-lucky,slaphappy
haughty,imperious,lordly
headlong,headfirst,precipitately
hedged,duck,sidestep
heedful,attentive,thoughtful
hematogenic,hematopoietic,haematopoietic
hemimetabolous,hemimetabolic,hemimetamorphous
heroic,larger-than-life,heroical
heterosexual,straight person,straight
high-and-mighty,magisterial,peremptory
high-flown,high-minded,lofty
high-minded,elevated,sublime
high-minded,idealistic,noble-minded
hired,engage,take
homespun,tweedy,cracker-barrel
honored,honour,abide by
hooked,crochet,hook
hooked,drug-addicted,strung-out
hooved,ungulate,ungulated
howling,tremendous,wonderful
humongous,thumping,whopping
humped,know,do it
humped,be intimate,have intercourse
humped,screw,fuck
hunky-dory,o.k.,ok
hurt,wound,injure
hypnotized,hypnotise,mesmerize
hypothetic,hypothetical,supposed
idealistic,high-flown,high-minded
idiotic,laughable,ludicrous
idle,wild,unused
iii,trine,trinity
ill-sorted,incompatible,mismated
immensurable,unmeasurable,unmeasured
immunized,inoculate,vaccinate
impending,imminent,impendent
improved,better,improve
improving,meliorate,better
incased,incase,case
incised,engraved,etched
incisive,penetrating,penetrative
indefinable,undefinable,indescribable
indefinable,indescribable,ineffable
indisposed,antipathetic,antipathetical
individual,somebody,mortal
infernal,satanic,unholy
informative,enlightening,illuminating
injured,injure,bruise
inquisitive,questioning,wondering
inscribed,scratch,engrave
inspiring,urge on,exhort
intensified,intensify,step up
interbred,hybridize,hybridise
interconnected,co-ordinated,unified
interlaced,enlace,interlace
interlacing,lock,interlock
intervening,step in,interfere
intimate,familiar,sexual
invading,intrude on,invade
invigorating,animate,invigorate
inviting,invite,ask in
involved,tangled,tortuous
irksome,deadening,dull
irredeemable,unredeemable,unreformable
irritated,get to,bother
isolating,isolate,sequester
jaded,wear,weary
jammed,pile,jam
jarring,jar,collide
jittery,high-strung,highly strung
justificative,justificatory,vindicatory
kept,retain,continue
kinky,frizzly,frizzy
knowing,cognize,cognise
knowing,be intimate,have intercourse
known,know,sleep together
kookie,fruity,haywire
kooky,bonkers,buggy
labeled,label,judge
labelled,tag,label
labored,labour,toil
labored,dig,moil
labouring,labour,push
languid,lackadaisical,languorous
late-blooming,fall-flowering,fall-blooming
later,ulterior,posterior
later,recent,late
latest,a la mode,in style
laughable,funny,mirthful
leading,conduct,guide
leading,conduct,lead
left,impart,leave
left,pass on,forget
lemony,tangy,tart
lettered,knowing,knowledgeable
level,raze,rase
lifted,pinch,abstract
likable,sympathetic,appealing
lilting,swinging,swingy
litigious,contentious,combative
littler,little,small
liverish,livery,atrabilious
living,hold out,exist
loathsome,noisome,queasy
localised,focalize,focalise
long-winded,tedious,verbose
looking,face,attend
looking,look,see
looking,depend,look
loony,dotty,fruity
loopy,kookie,loco
lordly,overbearing,prideful
lost,baffled,befuddled
loth,antipathetic,antipathetical
loud,flashy,garish
loud,tawdry,trashy
lowered,lower,depress
lowest,blue,depressed
luxurious,sybaritic,voluptuary
madcap,hothead,swashbuckler
made,make,gain
made,get,make
made,make,reach
made,have,make
made,make,give
made,take a shit,take a crap
magic,magical,sorcerous
magisterial,distinguished,grand
magnified,hyperbolise,magnify
malcontent,disaffected,ill-affected
mangled,mangle,mutilate
manifest,evident,patent
mantic,sibylline,sibyllic
marked,stigmatize,stigmatise
married,espouse,marry
marvelous,howling,marvellous
matched,pair,twin
matching,couple,pair
matted,felt up,mat up
matured,grow,mature
matured,mature,senesce
maximum,uttermost,level best
measured,metrical,metric
meet,play,take on
meliorative,ameliorating,ameliorative
melting,dethaw,melt
menacing,jeopardize,jeopardise
meretricious,gimcrack,loud
merging,commingle,immix
miasmal,vaporous,vapourous
middling,fairly,passably
militant,hawkish,warlike
militarised,militarize,militarise
mincing,mince,soften
minimized,minimize,minimise
mint,mountain,muckle
mint,sight,slew
minuscule,little,small
mirthful,jovial,merry
miry,marshy,mucky
miry,quaggy,sloppy
misbegotten,misbegot,spurious
mischievous,prankish,puckish
mistaken,mistake,misidentify
misunderstood,misconceive,misunderstand
mixed,meld,combine
mixed,desegregate,integrate
moderating,check,curb
modernised,modernise,develop
monitory,cautionary,exemplary
monochrome,monochromic,monochromous
morphological,structural,morphologic
moth-eaten,ratty,shabby
mucky,waterlogged,muddy
muffled,repress,muffle
multicoloured,multicolored,multi-colored
mum,ma,mama
murmuring,grumble,croak
musing,contemplate,muse
muzzy,hazy,addled
myopic,shortsighted,unforesightful
mystifying,bewilder,flummox
mythic,fabulous,mythical
naive,primitive,uninstructed
naming,name,list
napped,catnap,catch a wink
nasty,tight,cruddy
nauseating,disgust,revolt
neat,cracking,dandy
needy,impoverished,indigent
netted,webbed,weblike
nettled,nettle,gravel
nettlesome,plaguey,teasing
neutralized,neutralise,neutralize
niminy-piminy,dainty,mincing
noisome,queasy,loathsome
noticed,notice,remark
objective,aim,object
obliging,bind,hold
obliterate,kill,wipe out
obscene,raunchy,salacious
obscure,fog,cloud
obsessed,haunted,preoccupied
obviating,avoid,ward off
odorous,perfumed,scented
offending,transgress,offend
offending,hurt,wound
ominous,menacing,minacious
opened,open up,open
openhearted,benevolent,kindly
opening,unfold,spread
opponent,antagonist,opposer
opprobrious,disgraceful,ignominious
opthalmic,ocular,optic
ordered,order,grade
orienting,orient,tailor
orthogonal,immaterial,impertinent
otiose,ineffectual,unavailing
outlined,limn,outline
outside,outdoors,out of doors
overbearing,supercilious,swaggering
overbold,impudent,smart
overdressed,prink,attire
overlooking,neglect,pretermit
overreaching,overreach,outsmart
overstrung,highly strung,jittery
overturned,overturn,tip over
overturned,bring down,revoke
packed,pack,pile
paid,give,pay
pained,trouble,ail
painted,calico,multicolor
painted,multi-coloured,particolored
paired,twin,pair
pampering,cosset,cocker
panegyric,eulogistic,panegyrical
parted,set forth,set off
partisan,enthusiast,partizan
passing,elapse,lapse
passing,pass,overtake
passing,fall,return
passing,drop dead,pop off
pathologic,diseased,morbid
paying,pay,yield
peachy,groovy,keen
peculiar,funny,odd
peculiar,rummy,singular
peeled,uncase,unclothe
peeved,miffed,nettled
pellucid,crystalline,crystal clear
penetrating,pervade,penetrate
perfunctory,cursory,passing
permeative,permeant,permeating
permeative,permeating,pervasive
perplexing,baffle,beat
persisting,persist,hang in
perturbed,disquiet,trouble
pesky,bothersome,galling
pesky,pestiferous,plaguy
pestiferous,galling,irritating
phantasmagoric,surreal,surrealistic
phantasmal,ghostlike,ghostly
pie-eyed,pixilated,plastered
pitiful,misfortunate,pathetic
pixilated,prankish,puckish
pixilated,plastered,slopped
placed,aim,place
plain,knit,knit stitch
planetary,worldwide,world-wide
plant-eating,phytophagous,phytophilous
platyrrhine,platyrrhinian,platyrhine
played,playact,play
plucked,pluck,tweak
plucked,pick,pluck
plumping,plump,plump out
pockmarked,pocked,potholed
poised,collected,equanimous
pokey,poky,jerkwater
poky,jail,jailhouse
posterior,hind end,keister
posterior,rump,stern
potent,stiff,virile
potential,potentiality,potency
potty,chamberpot,thunder mug
pouring,decant,pour
practiced,practise,practice
preceding,come before,precede
preferred,favorite,favourite
present,give,gift
pressed,press,bid
preventative,contraceptive,preventive
prickly,barbed,barbellate
prideful,lordly,overbearing
prideful,triumphal,triumphant
primal,primeval,primaeval
prime,flower,peak
prize,prise,lever
profane,corrupt,pervert
profaned,pervert,subvert
profaned,profane,vitiate
profligate,degraded,dissipated
prohibited,disallow,nix
projecting,visualise,envision
promiscuous,sluttish,wanton
promising,anticipate,promise
proof,cogent evidence,test copy
propelling,propellent,propulsive
prophylactic,cautionary,preventive
prospering,roaring,thriving
provoked,kindle,evoke
provoking,harry,chivy
provoking,molest,provoke
prudish,tight-laced,victorian
puffy,tumid,turgid
pulverised,demolish,pulverize
punk,spunk,punk rocker
pure,perfect,sodding
putrefiable,decayable,putrescible
qualified,dependent,dependant
quantized,quantize,quantise
queer,foil,cross
quiet,serenity,tranquillity
quiet,hush,quiesce
raging,rag,cod
raised,rear,set up
raising,rearing,upbringing
raising,leaven,prove
rallying,rebound,tease
ramate,ramose,ramous
rambling,jog,roll
rambling,discursive,excursive
rambling,meandering,wandering
ranging,range,rate
