outlet,aperol,alcoholism
reversion,turnabout,turnaround
rial,riyal-omani,omani rial
ribbing,make fun,poke fun
riddance,exclusion,expulsion
ride,tantalize,tantalise
rifle,strip,ransack
rifling,foray,rifle
rig,equipage,swindle
rig,set,set up
rigging,rig,set
rigidity,inflexibility,rigidness
ringdove,cushat,columba palumbus
ringer,dead ringer,clone
rings,call up,phone
rings,environ,ring
riveter,riveting machine,rivetter
roll,cast,ramble
roll,rove,range
roofy,forget me drug,circle
rook,diddle,bunco
rout,root,rootle
ruction,commotion,din
ruction,rumpus,tumult
ruddles,common marigold,pot marigold
ruffle,mess up,pleat
rumble,rumbling,grumble
rumination,reflexion,musing
rumourmonger,rumormonger,newsmonger
rump,rear,rear end
run,extend,operate
run,be given,lean
run,die hard,endure
rung,skirt,border
rupee,nepalese rupee,mauritian rupee
rupture,rift,falling out
rut,estrus,oestrus
s,due south,southward
sacrilege,profanation,desecration
safety,safety device,base hit
safety,rubber,safe
sailor,skimmer,straw hat
salon,beauty parlour,beauty shop
saltpetre,niter,nitre
salve,ointment,unction
sandbag,dragoon,railroad
sandspur,sandbur,field sandbur
sanguification,haematopoiesis,hemopoiesis
sanguification,hemogenesis,haemogenesis
sashay,swagger,ruffle
satisfaction,gratification,atonement
savant,learned person,pundit
savings,preserve,save
savoring,bask,relish
savoring,taste,savor
savour,relish,savor
saying,enounce,sound out
scale,ordered series,scale leaf
scale,scurf,exfoliation
scallywag,rogue,knave
scam,gip,hornswoggle
scatter,sprinkle,dot
schematization,schematisation,diagramming
schmoose,confabulation,schmooze
schnorchel,snorkel breather,breather
schnorkel,snorkel,schnorchel
schoolmistress,schoolmarm,schoolma'am
scissors,scissor hold,scissor grip
scoke,poke,pigeon berry
scoke,garget,phytolacca americana
scope,orbit,compass
scoring,seduce,score
scoring,score,grade
scours,scour,purge
scraping,trash,junk
scraps,chip,flake
scratching,scrape,scrape up
scream,shriek,shrieking
screening,sieve,sort
screwing,fuck,fucking
scrubbing,call off,scratch
scrunch,crease,crinkle
scruples,scruple,qualm
scudding,flash,shoot
sculpturer,carver,statue maker
seasoner,flavourer,flavoring
seasoning,season,flavor
seating,induct,invest
seats,tail end,tooshie
secreter,secret,surreptitious
section,division,plane section
self-interest,self-seeking,expedience
self-will,obstinacy,obstinance
sending,direct,send
sending,post,send
sending,institutionalise,send
senescence,ageing,agedness
sensation,ace,adept
sensation,maven,mavin
separateness,distinctness,severalty
series,serial,serial publication
serjeant,sergeant-at-law,sergeant
serve,do,attend to
serving,do,answer
sestet,sextette,sextet
setting,set,specify
settlings,locate,reconcile
settlings,conciliate,settle
severity,rigorousness,rigourousness
sewer,gutter,toilet
sextet,sextuplet,hexad
shade,nicety,subtlety
shades,shade,shadiness
shadflower,shad-flower,draba verna
shaft,diaphysis,cock
shame,dishonour,attaint
sheet,plane,tabloid
shekels,wampum,shekel
shift,transformation,transmutation
shine,glint,gleam
shine,radiate,fall
shine,beam,radiate
shirking,slacking,soldiering
shithead,dunderhead,numskull
shithead,muttonhead,dumbass
shithead,dumbass,fuckhead
shitting,give away,rat
shook,shake,didder
shoot,flash,tear
shooting,hit,pip
shoring,prop up,prop
showiness,floridness,floridity
showing,evidence,show
showing,show,usher
shriek,pipe up,pipe
shrink,shrivel up,wither
shrink,reduce,contract
shrinking,shrink,wince
shrinking,recoil,quail
shtik,shtick,schtick
sickness,illness,unwellness
sideline,hobby,pursuit
signified,signify,stand for
signifier,word form,descriptor
signing,signalize,signalise
sincerity,earnestness,seriousness
sinking,sink,settle
sixties,1960s,mid-sixties
skepticism,mental rejection,agnosticism
skirt,dame,doll
skittles,ninepin,skittle
skylark,lark,rollick
slackness,laxity,remissness
slang,argot,patois
slant,cant,cant over
slash,trounce,gash
sleuthing,snoop,sleuth
slickness,skullduggery,glibness
slickness,slipperiness,slip
slob,pig,slovenly person
slop,splosh,slosh
slowness,mental retardation,backwardness
slug,idle,laze
smacking,thwack,smack
smallmouth,smallmouth bass,smallmouthed bass
smear,smudge,spot
smirch,slur,blot
smirch,calumniate,smear
smother,stifle,strangle
smudge,smear,smirch
smut,filth,dirty word
snakeberry,red baneberry,redberry
snappishness,peevishness,pettishness
snarl,mat,snarl up
snip,dress,prune
snipping,snip,clip
snipping,trim,lop
snitch,give away,rat
snuffle,blubber,blub
soaker,downpour,cloudburst
soaker,alky,dipsomaniac
soberness,somberness,sombreness
sod,sodomist,bugger
soda,pop,soda pop
sodomy,anal sex,anal intercourse
solace,solacement,consolation
solving,resolve,solve
somatotropin,somatotropic hormone,somatotrophic hormone
somesthesis,somataesthesis,somatosensory system
somnambulation,sleepwalking,somnambulism
soreness,discomfort,irritation
soybean,soya,soya bean
sparkle,froth,fizz
spat,clap,spit
spatter,swash,sprinkle
spatter,pitter-patter,bespatter
spattering,splosh,swash
specialty,speciality,distinctiveness
species,coinage,mintage
speed,stop number,amphetamine
sphericity,globularness,rotundity
spin,whirl,birl
spindle,arbor,spike
spine,spikelet,backbone
spitting,ptyalize,ptyalise
splash,sprinkle,splosh
spoiling,spoilage,spoil
sport,romp,run around
spots,situation,touch
spots,espy,spy
spots,recognise,distinguish
spotting,maculation,detection
sprain,turn,wrick
spreading,spread,spread out
sprouting,burgeon forth,sprout
sputter,scramble,shin
squawroot,blue cohosh,blueberry root
squeaker,close shave,squeak
squealer,blabber,hog
squeezing,stuff,shove
squeezing,squeeze,pinch
squinch,funk,cringe
squinch,wince,recoil
squinter,squint,squint-eyed
squirm,worm,twist
stack,deal,flock
stacks,tidy sum,wad
stacks,heap,stack
staging,spy,stag
staging,stag,snoop
stairs,steps,step
stake,bet,wager
stakes,back,gage
stalemate,impasse,standstill
stalling,drag one's feet,drag one's heels
start,lead off,commence
starwort,stitchwort,greater stitchwort
stave,rung,round
steeper,extortionate,outrageous
stemma,blood,pedigree
stench,fetor,foetor
step,whole tone,whole step
stick,cohere,sting
stick,mystify,baffle
stilt,pile,spile
stiltbird,long-legs,stilt plover
sting,confidence game,con game
sting,con game,gyp
stink,malodor,malodour
stolidity,emotionlessness,impassivity
stool,shit,take a shit
stops,blockage,block
storage,depot,entrepot
storage,memory,computer memory
straggle,sidetrack,depart
straits,head,strait
strangles,strangulate,throttle
strangling,choking,strangulation
stream,pour,swarm
strength,strong suit,long suit
strike,hit,come to
strip,cartoon strip,funnies
strip,uncase,unclothe
strip,denude,bare
stripes,discase,uncase
stripes,strip,plunder
striping,disrobe,peel
striping,leach,strip
stripteaser,exotic dancer,ecdysiast
stripteaser,ecdysiast,peeler
striving,reach,strain
stroller,saunterer,ambler
stroller,perambulator,pram
studying,canvas,study
stuffing,gorge,ingurgitate
stumblebum,lubber,lummox
sty,hordeolum,eye infection
stylist,hairstylist,styler
submerging,submerge,submerse
subscriber,reader,contributor
subsidence,remission,remittal
succeeder,achiever,winner
suck,nurse,wet-nurse
sucker,gull,mark
sucking,go down on,absorb
suiting,befit,suit
sunup,break of day,break of the day
superannuation,retirement pension,retirement check
support,back up,back
support,hold,sustain
support,substantiate,affirm
support,subscribe,corroborate
supporter,garter,athletic supporter
supporter,athletic supporter,suspensor
supposition,hypothesis,assumption
sureness,assurance,self-assurance
surffish,yellowfin croaker,surf fish
surge,rush,spate
surroundings,surround,besiege
surroundings,fence,fence in
suspensor,athletic supporter,supporter
suspicion,misgiving,mistrust
swallow,unsay,withdraw
sweats,sweatsuit,workout suit
sweats,exertion,travail
sweetbrier,brier,briar
switchblade,switchblade knife,flick-knife
symbolization,symbolisation,symbol
synchroniser,synchronoscope,synchronizer
synchronizing,synchronise,synchronize
system,arrangement,organization
systematist,orderer,systematizer
tablet,pad of paper,pill
tactics,tactic,maneuver
tail,butt,backside
tails,dress suit,full dress
tails,backside,bum
tails,seat,tail
take,have,submit
take,take aim,direct
takings,occupy,use up
takings,take away,withdraw
talk,public lecture,talk of the town
talkativeness,loquaciousness,loquacity
talks,talk,talk of the town
talks,talk,speak
talks,mouth,verbalize
talus,astragal,astragalus
tameness,jejuneness,vapidity
tank,tankful,tank car
tanning,lashing,flagellation
taping,intercept,bug
tapping,rap,knock
taster,taste tester,taste-tester
tawdriness,brashness,meretriciousness
taximan,hack-driver,livery driver
tectonics,architectonics,plate tectonics
telephone,call,call up
tenseness,tension,tensity
tent,encamp,camp out
tenuity,rarity,low density
tercet,iii,trio
terror,panic,affright
testis,bollock,nut
text,schoolbook,school text
theoretician,theorizer,theoriser
think,recollect,intend
thinner,slender,thin
thirstiness,aridity,aridness
thirstiness,aridness,thirst
thought,opinion,sentiment
thought,conceive,think
thrash,cream,bat
threshing,thresh,thrash
throttle,gas pedal,gas
throw,switch,project
throw,contrive,bewilder
thrower,potter,ceramicist
thrusting,thrust,force
thyrotropin,thyrotrophin,thyrotrophic hormone
tick-tack-toe,tit-tat-toe,noughts and crosses
ticking,check,check off
tie,draw,connect
tie,link,link up
tierce,one-third,third
tilt,arguing,list
tilt,rock,careen
times,time,prison term
tin,can,tin can
tincture,shadow,shade
tinker,chub mackerel,scomber japonicus
tinker,monkey,monkey around
tipper,dump truck,dumper
tipsiness,inebriety,intoxication
title,deed,deed of conveyance
titty,knocker,boob
to-do,disruption,commotion
toetoe,arundo richardii,toitoi
toetoe,arundo conspicua,chionochloa conspicua
togs,clothe,enclothe
toilet,lavatory,lav
toot,blare,beep
torment,dun,frustrate
torpedo,hit man,hitman
torpedo,submarine,submarine sandwich
torpidity,torpor,listlessness
torpor,listlessness,torpidity
touchstone,criterion,measure
tout,shoot a line,brag
track,course,lead
track,cut,caterpillar track
trade,merchandise,trade in
trailing,tail,tag
train,direct,coach
tranquillizer,ataractic agent,ataractic
transition,passage,conversion
transport,shipping,ecstasy
transport,transferral,conveyance
transport,enthral,delight
trap,trammel,pin
trash,tripe,trumpery
travail,dig,moil
traverse,cut across,cross
treacle,golden syrup,mush
treacle,slop,glop
tread-softly,devil nettle,pica-pica
trencherman,gourmand,gourmandizer
trend,movement,vogue
trickery,wile,shenanigan
trimester,trig,trim
trimming,lop,dress
trine,troika,triad
trouncing,lacing,whacking
tube,pipe,tube-shaped structure
tulipwood,white poplar,yellow poplar
tum,stomach,tummy
tumble,get onto,latch on
tumble,cotton on,twig
turbojet,fanjet engine,turbojet engine
turn,twist,turning
turn,flex,bend
turncoat,renegade,recreant
turning,turn,flex
turnkey,prison guard,jailer
turnover,upset,overturn
twat,goofball,bozo
tweak,pick off,fine-tune
twist,wrestle,wriggle
twit,rally,ride
tying,tie,bind
tyranny,absolutism,despotism
umbilicus,navel,bellybutton
umbilicus,omphalos,omphalus
underestimate,underestimation,underrating
underlayment,carpet pad,rug pad
underreckoning,underestimation,underrating
underscore,emphasize,emphasise
undertaking,contract,undertake
undoer,unfastener,untier
undress,uncase,unclothe
undress,divest,disinvest
uniting,unite,unify
unloading,discharge,unload
unloading,unlade,offload
upgrade,promote,advance
uprising,originate,arise
uprising,uprise,get up
usability,serviceability,serviceableness
utterer,verbalizer,verbaliser
valorousness,valour,valiance
value,prize,treasure
vamper,tease,prickteaser
vanishing,fly,vaporize
vastness,enormousness,grandness
veil,velum,caul
veil,obliterate,hide
vestibule,antechamber,entrance hall
vexation,irritation,annoyance
viewer,watcher,looker
vilifier,defamer,maligner
violator,law offender,debaucher
viosterol,calciferol,ergocalciferol
visiting,gossip,jaw
visor,eyeshade,vizor
vividness,color,colour
vocalizing,vocalize,vocalise
vodoun,voodoo,voodooism
volatility,unpredictability,excitability
vomiting,puke,barf
vulgarism,coarseness,commonness
wad,spate,stack
wangle,fake,falsify
want,neediness,lack
ward,baroness jackson of lodsworth,ward
warmer,warm,quick
warmness,fondness,tenderness
warrantee,guarantee,warrant
warrantor,surety,warranter
wasting,squander,waste
watcher,looker,watchman
watching,watch,look out
water,pee,piddle
water-colour,water-color,watercolour
waver,flitter,flutter
weatherboard,clapboard,weatherboarding
wedding,marry,get married
wedge,hoagy,cuban sandwich
wellbeing,well-being,welfare
wetter,wetting agent,surfactant
wharfage,pier,wharf
whim,impulse,notion
whipsaw,two-handed saw,two-man saw
whiteness,pureness,sinlessness
whizz,whirr,whir
whizz,zoom along,whizz along
whoreson,motherfucker,prick
whortleberry,blaeberry,viccinium myrtillus
wickedness,immorality,iniquity
wicopy,moosewood,moose-wood
widening,turnout,broadening
widget,thingmajig,thingummy
widget,whatchamacallum,whatsis
wings,wing,fender
wisenheimer,wiseacre,weisenheimer
wish,indirect request,regard
wishing,wish well,wish
withdrawal,backdown,climb-down
withdrawnness,aloofness,remoteness
withholding,keep back,withhold
wiz,hotshot,star
wobble,tilt,shimmy
woman,cleaning woman,cleaning lady
woodiness,woodsiness,wood grain
woodlet,grove,orchard
wop,dago,ginzo
workings,work out,make
works,piece of work,employment
wrap,envelop,enfold
writing,publish,write
years,geezerhood,long time
yell,outcry,call
yellowbird,dendroica petechia,new world goldfinch
yips,yelp,yelping
yobbo,roughneck,rowdy
yoke,duet,dyad
yowl,holloa,roar
abide,stick out,stomach
absorb,plunge,engross
accept,take,take on
accumulate,roll up,collect
accumulate,compile,hoard
acknowledge,recognize,recognise
actuate,spark,trigger off
adjure,bid,beseech
adumbrate,outline,intimate
allow,countenance,grant
amass,pile up,compile
ameliorate,improve,meliorate
anesthetize,anaesthetise,put under
annul,invalidate,quash
antedate,forego,forgo
appease,lenify,conciliate
apprize,notify,give notice
arise,go up,come up
arouse,evoke,stir
arouse,stir,sex
arouse,turn on,wind up
arrange,coif,coiffe
ascertain,see,watch
assail,assault,set on
assemble,foregather,gather
assume,take over,acquire
assume,feign,wear
assume,put on,get into
bedamn,imprecate,maledict
beget,father,mother
begrime,soil,grime
bestride,mount,mount up
bewitch,witch,enchant
bewitch,enchant,jinx
bilk,queer,spoil
bless,consecrate,hallow
bodge,louse up,foul up
bollix,bollocks up,bobble
bourgeon,burgeon forth,sprout
brabble,niggle,pettifog
browbeat,boss around,hector
bumble,fluff,bollix
bushwhack,ambush,scupper
bushwhack,ambuscade,lie in wait
claver,gossip,jaw
coddle,mollycoddle,spoil
coincide,co-occur,cooccur
coldcock,dump,knock down
colligate,associate,tie in
colourize,colorize,colorise
colourize,color in,colour in
combust,ignite,catch fire
commingle,mix,conflate
commingle,immix,fuse
confound,discombobulate,confuse
conjure,bid,beseech
connect,colligate,link up
constrain,restrain,encumber
consult,look up,confer
contain,comprise,hold
contribute,chip in,kick in
convulse,thresh,thresh about
coruscate,scintillate,sparkle
crystallise,crystalize,crystalise
crystallize,crystalise,effloresce
decoke,decarbonise,decarburize
decolorise,decolourise,discolorize
decolour,discolorize,discolourise
decompose,molder,moulder
defecate,take a crap,ca-ca
defend,oppose,fight back
defer,hold over,put over
defer,remit,put off
deform,bend,twist
demoralize,dismay,dispirit
demote,bump,relegate
deprave,debauch,debase
depress,lower,press down
determine,specify,set
determine,decide,make up one's mind
devaluate,undervalue,devalue
diddle,hornswoggle,short-change
disassociate,disunite,disjoint
dispense,shell out,deal out
disperse,dissipate,dispel
disperse,break up,scatter
dispose,cast away,put away
dissemble,cloak,mask
distort,twine,contort
distort,wring,tinge
distribute,spread,give out
disunite,disjoint,separate
divest,strip,disinvest
divest,undress,disinvest
domesticate,cultivate,naturalize
domesticate,tame,domesticize
douse,drench,dowse
dumbfound,stick,get
educate,civilize,civilise
eff,screw,fuck
effeminize,feminize,feminise
eliminate,rule out,winnow out
elucidate,crystallise,crystalize
empower,endow,indue
enchant,trance,catch
encrypt,code,encipher
endure,support,brook
engross,soak up,absorb
enjoy,relish,savor
enlighten,irradiate,clear
enlighten,crystalise,straighten out
entangle,tangle,mat
entrap,snare,ensnare
entrust,confide,commit
eradicate,uproot,extirpate
evoke,conjure up,invoke
execute,carry through,accomplish
exemplify,illustrate,instance
exist,survive,live
expand,flourish,inflate
expand,dilate,extend
expel,throw out,drum out
exsert,put out,extend
extend,stretch,expand
extend,stretch,stretch out
extinguish,snuff out,blow out
extrapolate,generalize,generalise
fascinate,capture,enamour
fascinate,catch,becharm
fascinate,charm,bewitch
fatten,fill out,plump
fertilize,fecundate,fertilise
flatter,bland,flat
flog,lather,lash
follow,come after,conform to
formulate,contrive,devise
forswear,abjure,recant
forswear,recant,retract
gormandize,pig out,satiate
gruntle,placate,gentle
harass,harry,chivy
harmonise,agree,harmonize
hornswoggle,victimize,swindle
humiliate,mortify,chagrin
immerse,plunge,engross
immortalise,memorialise,immortalize
immortalise,record,immortalize
impose,enforce,inflict
imprecate,curse,cuss
incriminate,impeach,criminate
incrust,beset,encrust
incur,get,find
indicate,point,signal
infer,guess,understand
inflate,blow up,expand
ingurgitate,overeat,gormandize
initialise,initialize,format
initialise,format,initialize
instal,put in,set up
instill,transfuse,instil
intend,mean,signify
interfere,intervene,step in
interlace,enlace,lace
interpret,render,represent
intertwine,lace,tat
intertwine,tat,loop
intromit,allow in,let in
intrude,irrupt,trespass
intumesce,swell,swell up
intumesce,swell up,tumefy
invade,occupy,intrude on
jactitate,convulse,thresh
kindle,arouse,elicit
lambast,call on the carpet,take to task
learn,read,take
legitimize,legalize,legalise
lessen,diminish,fall
linger,loaf,lallygag
loll,bum about,arse around
loosen,tease,tease apart
manoeuver,channelize,channelise
masticate,chew,manducate
maturate,senesce,age
maunder,twaddle,clack
merge,blend,flux
mesmerize,hypnotize,hypnotise
metamorphose,transfigure,transmogrify
mingle,commix,unify
minimize,understate,minimise
misappropriate,embezzle,defalcate
modernize,overhaul,modernise
mollify,pacify,lenify
mussitate,mumble,mutter
naturalize,naturalise,domesticate
necessitate,postulate,need
nobble,kidnap,abduct
nonplus,stick,get
normalise,renormalize,renormalise
observe,honour,abide by
obturate,impede,occlude
occupy,worry,invade
omit,neglect,pretermit
oppose,controvert,contradict
outflank,outdo,trump
outride,stay,ride out
overcome,get the better of,defeat
overindulge,gourmandize,binge
pee-pee,micturate,piss
penetrate,interpenetrate,diffuse
penetrate,imbue,riddle
perplex,get,puzzle
perplex,beat,pose
perturb,disquiet,trouble
predestine,foreordain,preordain
prevaricate,beat around the bush,equivocate
primp,plume,dress
prise,jimmy,pry
prognosticate,forebode,anticipate
propose,purpose,purport
proscribe,forbid,prohibit
provide,furnish,supply
provoke,chevy,chevvy
quell,squelch,quench
quiesce,quieten,hush
quieten,lull,still
rankle,fret,grate
ransack,strip,rifle
ransack,rifle,pillage
rationalise,apologise,excuse
ravish,enrapture,transport
realize,understand,realise
recite,retell,tell
reckon,see,consider
recognise,acknowledge,recognize
recognise,agnize,agnise
redden,crimson,flush
reduce,abridge,foreshorten
reduce,contract,boil down
reduce,boil down,decoct
refer,come to,bear on
regorge,spew,spue
regularise,regularize,order
represent,present,lay out
resist,hold out,withstand
restate,iterate,retell
restore,reconstruct,regenerate
restrain,encumber,cumber
resurrect,revive,rise
retire,go to bed,turn in
revive,reanimate,renovate
rollick,frolic,lark
rouse,awaken,wake
rove,swan,stray
ruminate,reflect,mull
scandalize,shock,offend
scarper,scat,run
scintillate,winkle,sparkle
seize,assume,usurp
sensify,sensitize,sensitise
severalize,differentiate,secern
slosh,slush,squelch
smatter,dabble,play around
soften,relent,cushion
spay,alter,neuter
specify,qualify,condition
spew,vomit,vomit up
spew,upchuck,honk
sphacelate,gangrene,mortify
splosh,splash,spatter
stabilize,brace,steady
starve,crave,hunger
stimulate,hasten,excite
strangle,strangulate,throttle
stupefy,pose,bewilder
stupefy,flummox,nonplus
subdue,inhibit,conquer
submit,accede,give in
substantiate,realize,realise
subvert,pervert,demoralize
subvert,deprave,misdirect
summarise,sum,sum up
surpass,travel by,pass by
survive,live,subsist
sustain,suffer,have
sweet-talk,blarney,coax
syllabize,syllabicate,syllabise
testify,attest,take the stand
thresh,thrash,thrash about
tog,clothe,enclothe
transcend,surpass,exceed
transmit,conduct,convey
typify,symbolize,symbolise
unbend,straighten,relax
understate,minimize,minimise
valuate,assess,appraise
vanish,disappear,fly
ventilate,air,vent
verbalise,verbalize,express
violate,ravish,assault
violate,dishonour,outrage
vituperate,vilify,revile
vituperate,revile,rail
vivify,revive,renovate
wander,thread,meander
weaken,damp,soften
whelm,sweep over,overcome
womanize,effeminize,effeminise
yammer,yowl,whine
yawp,bawl,whine
angled,slant,angle
apprehended,cop,apprehend
atrocious,terrible,unspeakable
beatified,tickle pink,inebriate
behind,tooshie,tush
captive,absorbed,engrossed
castrated,emasculate,castrate
checked,tally,agree
edgy,high-strung,highly strung
following,follow,be
fulfilled,meet,satisfy
halt,stop,stoppage
haunted,frequent,haunt
impulsive,driving,capricious
incriminating,inculpate,accuse
insulting,insult,affront
loaded,affluent,flush
located,site,settle
pissed,blind drunk,blotto
pliable,malleable,pliant
ploughed,plough,turn
recognised,recognise,recognize
releasing,release,relinquish
roly-poly,podgy,pudgy
scattered,break up,scatter
shelled,beat out,crush
supported,plunk for,support
troubling,inconvenience,disoblige
wandering,stray,tramp
weak,watery,washy
whacky,sappy,silly
white-haired,grizzly,hoar
now,straight off,directly
amount,number,add up
arbalist,trebuchet,trebucket
bars,block off,block up
boner,blooper,bloomer
break,break dance,break-dance
burst,split,break open
burying,immerse,swallow
colors,color,colour
commotion,disturbance,disruption
countenance,indorsement,warrant
cream,thrash,lick
desolation,devastation,bleakness
discharge,emission,expelling
examination,exam,test
favourableness,favorableness,advantageousness
forge,formulate,spurt
fund,stock,investment company
fusion,unification,coalition
gain,addition,increase
gripes,transfix,grip
interdict,proscribe,veto
inventorying,stocktaking,stock-taking
mussitation,muttering,murmur
oracle,prophesier,seer
outcry,cry,call
peddling,peddle,monger
pelf,cabbage,clams
prostitute,fancy woman,working girl
risk,put on the line,lay on the line
rout,root,rootle
selling,sell,betray
setting,typeset,set
shine,radiance,radiancy
shine,gleam,glow
slash,cut,gash
somesthesia,somaesthesia,somaesthesis
stay,hitch,stop
strike,hit,come to
summoning,summon,summons
switching,switch over,switch
talk,public lecture,talk of the town
tomato,tomato plant,lycopersicon esculentum
trailing,hang back,drop behind
try,hear,strain
turbofan,fanjet,fan-jet
upgrade,raise,climb
womanishness,effeminacy,effeminateness
canonize,saint,canonise
conceptualise,conceive,conceptualize
diminish,fall,belittle
endure,survive,last
excogitate,devise,formulate
govern,regulate,regularize
imprison,jail,jug
manoeuver,manoeuvre,direct
overdress,attire,get up
palter,tergiversate,prevaricate
quicken,invigorate,animate
summate,add together,tally
illusion,head game,magic trick
